ID,Slug,Title,Provider Type,Status,Is Legacy,Issues Count,Issues List
post-matric-scholarship-for-differently-abled,post-matric-scholarship-for-differently-abled,"Post-Matric Scholarship for Differently Abled",Government,Active,No,2,"Missing Deadline Date | Old Year Reference (e.g. 2024 or 2025 in title or description)"
pragyan-bharati-scheme,pragyan-bharati-scheme,"Pragyan Bharati Scheme",Government,Active,No,2,"Missing Min Amount | Missing Helpline Contact Details"
uttarakhand-state-merit-scholarship,uttarakhand-state-merit-scholarship,"Uttarakhand State Merit Scholarship",Government,Active,No,2,"Old Year Reference (e.g. 2024 or 2025 in title or description) | Missing Helpline Contact Details"
manipur-state-merit-scholarship,manipur-state-merit-scholarship,"Manipur State Merit Scholarship",Government,Active,No,2,"Old Year Reference (e.g. 2024 or 2025 in title or description) | Missing Helpline Contact Details"
tripura-state-merit-scholarship,tripura-state-merit-scholarship,"Tripura State Merit Scholarship",Government,Active,No,2,"Old Year Reference (e.g. 2024 or 2025 in title or description) | Missing Helpline Contact Details"
colgate-keep-india-smiling-scholarship,colgate-keep-india-smiling-scholarship,"Colgate Keep India Smiling Scholarship",Private,Active,No,2,"Old Year Reference (e.g. 2024 or 2025 in title or description) | Missing FAQ Content"
op-jindal-engineering-management-scholarship,op-jindal-engineering-management-scholarship,"OP Jindal Engineering & Management Scholarship",Private,Active,No,2,"Old Year Reference (e.g. 2024 or 2025 in title or description) | Missing FAQ Content"
d8d96965-2fa2-4ca0-90df-f7b7c1f37787,aga-khan-foundation-international-scholarship-programme,"Aga Khan Foundation International Scholarship Programme",Study Abroad,Active,No,2,"Missing Min Amount | Invalid Apply URL format: ""Applications are decentralized and forms are obtained from local Aga Khan Foundation (AKF) or Aga Khan Education Services/Boards offices in the applicant's country of current residence. There is no central online application portal. The 2026-2027 application cycle for studies commencing in Fall 2026 is closed. The next cycle will open in early 2027 for studies commencing in Fall 2027."""
05d3d003-ee29-415b-b205-eb90edcc9b83,sheffield-academy-scholarships,"Sheffield Academy Scholarships",University,Active,No,2,"Missing Min Amount | Missing Required Documents"
93474508-5365-483f-818c-00ad186cb2b2,commonwealth-masters-scholarships,"Commonwealth Masters Scholarships",Study Abroad,Active,No,2,"Missing Min Amount | Invalid Apply URL format: ""The official application portal is CSC Central, accessible via the Commonwealth Master's Scholarships page on the CSC website when applications are open. For 2026/2027, the application deadline was generally October 14 or 21, 2025. Please refer to your nominating agency for specific opening and closing dates."""
14,green-passage-scheme-technical-education-odisha,"Green Passage Scheme - Technical Education (Odisha)",Government,Active,No,1,"Missing Min Amount"
19,videsh-siksha-bruti-foreign-education-scholarship-odisha,"Videsh Siksha Bruti - Foreign Education Scholarship (Odisha)",Government,Active,No,1,"Missing Min Amount"
