Top pages,Clicks,Impressions,CTR,Position
https://www.indiascholarships.in/scholarships/irdp-scholarship,20,1068,1.87%,3.6
https://www.indiascholarships.in/scholarships-for/buddhist,20,674,2.97%,6.55
https://www.indiascholarships.in/scholarships/legacy-ssp-pre-matric-scholarship-state-scholarship-portal,19,5627,0.34%,4.8
https://www.indiascholarships.in/scholarships/dr-ambedkar-medhavi-chattervriti-yojana,19,2704,0.7%,6.27
https://www.indiascholarships.in/scholarships/kanyashree-prakalpa-scheme-west-bengal/selection-process,19,2548,0.75%,7.5
https://www.indiascholarships.in/scholarships-for/kpcr,19,1416,1.34%,4.89
https://www.indiascholarships.in/scholarships/mp-mptaas-post-matric-scholarship-for-sc-students,19,1331,1.43%,3.72
https://www.indiascholarships.in/scholarships/nmms-scholarship-maharashtra,18,12077,0.15%,7.14
https://www.indiascholarships.in/scholarships/aditya-birla-scholarship-programme,18,5616,0.32%,8.5
https://www.indiascholarships.in/scholarships/sn-bose-scholars-program-international-research,18,1897,0.95%,7.24
https://www.indiascholarships.in/scholarships/kerala-ch-mohammed-koya-scholarship,18,978,1.84%,5.91
https://www.indiascholarships.in/scholarships-for/nomadic-tribes,18,710,2.54%,6.41
https://www.indiascholarships.in/scholarships/siemens-scholarship-program/apply-online,18,491,3.67%,6.56
https://www.indiascholarships.in/scholarships/top-class-education-scheme-for-sc-students,17,8816,0.19%,6.83
https://www.indiascholarships.in/scholarships/aicte-swanath-scholarship-scheme,17,5146,0.33%,8.02
https://www.indiascholarships.in/scholarships/chhattisgarh-post-matric-scholarship-sc,17,3212,0.53%,6.07
https://www.indiascholarships.in/scholarships-for/ews-merit,17,2612,0.65%,6.97
https://www.indiascholarships.in/scholarships-for/mbc,17,1644,1.03%,7.28
https://www.indiascholarships.in/scholarships-level/class-9-10,17,1293,1.31%,7.68
https://www.indiascholarships.in/scholarships/mukhyamantri-kanya-kelavani-nidhi-gujarat,17,836,2.03%,5.98
https://www.indiascholarships.in/scholarships-income/no-income-bar,17,246,6.91%,5.43
https://www.indiascholarships.in/scholarships/inspire-scholarship-for-higher-education-she,16,6460,0.25%,8.38
https://www.indiascholarships.in/scholarships/digital-gujarat-post-matric-scholarship-for-sc-students,16,6144,0.26%,7.44
https://www.indiascholarships.in/scholarships/ssp-pre-matric-post-matric-scholarship-karnataka/last-date,16,3127,0.51%,6.15
https://www.indiascholarships.in/scholarships/chhattisgarh-post-matric-scholarship-scstobc,16,3076,0.52%,9.46
https://www.indiascholarships.in/scholarships/chhattisgarh-bpl-scholarship-for-college-students,16,2160,0.74%,7.7
https://www.indiascholarships.in/scholarships-in/sikkim,16,1726,0.93%,8.4
https://www.indiascholarships.in/scholarships/kali-bai-bhil-meritorious-girls-scooty-scheme,16,1519,1.05%,4.97
https://www.indiascholarships.in/scholarships/bihar-post-matric-scholarship-bcebc/apply-online,16,1288,1.24%,5.07
https://www.indiascholarships.in/scholarships/mp-pratibha-kiran-yojana,16,1079,1.48%,5.65
https://www.indiascholarships.in/scholarships-income/5l-plus,16,842,1.9%,5.7
https://www.indiascholarships.in/scholarships-by-course/law,16,697,2.3%,9.38
https://www.indiascholarships.in/scholarships/assam-dhe-combined-merit-scholarship,15,3792,0.4%,7.36
https://www.indiascholarships.in/scholarships-in/arunachal-pradesh,15,3305,0.45%,7.8
https://www.indiascholarships.in/scholarships-in/rajasthan,15,2251,0.67%,7.33
https://www.indiascholarships.in/scholarships/bihar-post-matric-scholarship-for-st-students,15,2054,0.73%,4.84
https://www.indiascholarships.in/scholarships/oasis-pre-matric-scholarship-for-obc-students-west-bengal,15,1620,0.93%,4.86
https://www.indiascholarships.in/scholarships-by-course/management,15,1585,0.95%,6.16
https://www.indiascholarships.in/scholarships/bihar-post-matric-scholarship-bcebc/eligibility,15,1572,0.95%,4.44
https://www.indiascholarships.in/scholarships/rajasthan-post-matric-scholarship-sc,15,1261,1.19%,3.94
https://www.indiascholarships.in/scholarships/oasis-pre-matric-scholarship-for-st-students-west-bengal,15,878,1.71%,4.87
https://www.indiascholarships.in/scholarships/pm-yashasvi-scholarship/last-date,15,876,1.71%,5.34
https://www.indiascholarships.in/scholarships/mukhyamantri-medhavriti-yojana,15,425,3.53%,5.35
https://www.indiascholarships.in/scholarships/ishan-uday-special-scholarship-for-north-eastern-region/last-date,14,2775,0.5%,7.19
https://www.indiascholarships.in/scholarships/post-matric-scholarship-for-minorities-central-sector,14,2126,0.66%,8.2
https://www.indiascholarships.in/scholarships/merit-scholarship-for-scstobc-students-higher-ed,14,1925,0.73%,7.45
https://www.indiascholarships.in/scholarships-in/uttar-pradesh,14,1714,0.82%,6.27
https://www.indiascholarships.in/scholarships/pm-yashasvi-scholarship/documents-required,14,1315,1.06%,4.85
https://www.indiascholarships.in/scholarships/swami-vivekananda-merit-cum-means-scholarship-svmcm/apply-online,14,1258,1.11%,6.44
https://www.indiascholarships.in/scholarships/mukhyamantri-medhavi-vidyarthi-yojana-mmvy/income-limit,14,1252,1.12%,4.69
https://www.indiascholarships.in/scholarships/aikyashree-scholarship-west-bengal-minority/last-date,14,1185,1.18%,7.13
https://www.indiascholarships.in/scholarships/nagaland-state-merit-scholarship,13,3126,0.42%,7.85
https://www.indiascholarships.in/scholarships-in/nagaland,13,2324,0.56%,9.46
https://www.indiascholarships.in/scholarships-in/goa,13,1725,0.75%,9.22
https://www.indiascholarships.in/scholarships-for/scheduled-caste,13,1609,0.81%,10.23
